Content ID,Week,Day,Platform,Franchise,Audience,Funnel stage,Format,Working title,Hook,Core message,Script ID,Shot-list ID,CTA,Required project,Required asset,Permission required,Claim verification required,Repurposing destinations,GBP use,SEO support,Paid-social potential,Owner or crew involvement,Production difficulty,Business priority,Status,Performance metric
CAL-011,2,Day 11 (Thu),Instagram + Facebook,What Would This Cost?,Homeowners/local,Consideration,Educational carousel,What Would This Cost?: Week 2 Thu,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-011,SL-11,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Qualified inquiries + saves
CAL-012,2,Day 12 (Fri),Instagram + Facebook,Finish Friday,Homeowners/local,Decision,Matched reveal Reel + carousel,Finish Friday: Week 2 Fri,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-012,SL-12,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Saves/shares + qualified leads
CAL-013,2,Day 13 (Sat),Production / no post,The NOLA Floor Report,Homeowners/local,Consideration,Edit/archive/permission cleanup,The NOLA Floor Report: Week 2 Sat,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-013,SL-01,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Approval/metadata completion
CAL-014,2,Day 14 (Sun),Community / no post,The NOLA Floor Report,Homeowners/local,Operations,Response and performance review,The NOLA Floor Report: Week 2 Sun,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-014,SL-02,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Content/analytics owner,Low,Support,Planned—internal,Response coverage + business outcome reconciliation
CAL-015,3,Day 15 (Mon),Production / no post,Contractor Field Notes,Contractors/commercial,Operations,Batch brief and capture,Contractor Field Notes: Week 3 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-015,SL-03,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Cleared assets captured
CAL-016,3,Day 16 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 3 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-016,SL-04,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
CAL-017,3,Day 17 (Wed),Instagram Stories,Floor ASMR,Homeowners/local,Consideration,3-frame Q&A/process derivative,Floor ASMR: Week 3 Wed,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-017,SL-05,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Low,Support,Draft—not approved,Replies + estimate-path taps
CAL-018,3,Day 18 (Thu),LinkedIn,Contractor Field Notes,Contractors/commercial,Consideration,B2B field note,Contractor Field Notes: Week 3 Thu,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-018,SL-06,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Qualified inquiries + saves
CAL-019,3,Day 19 (Fri),Instagram + Facebook,Finish Friday,Homeowners/local,Decision,Matched reveal Reel + carousel,Finish Friday: Week 3 Fri,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-019,SL-07,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Saves/shares + qualified leads
CAL-020,3,Day 20 (Sat),Google Business Profile,Floor Rescue,Homeowners/local,Decision,Locally useful project derivative,Floor Rescue: Week 3 Sat,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-020,SL-08,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Primary,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,High,Support,Hold—live rules/approval,GBP actions + qualified leads
CAL-021,3,Day 21 (Sun),Community / no post,The NOLA Floor Report,Homeowners/local,Operations,Response and performance review,The NOLA Floor Report: Week 3 Sun,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-021,SL-09,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Content/analytics owner,Low,Support,Planned—internal,Response coverage + business outcome reconciliation
CAL-022,4,Day 22 (Mon),Production / no post,What Would This Cost?,Homeowners/local,Operations,Batch brief and capture,What Would This Cost?: Week 4 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-022,SL-10,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Cleared assets captured
CAL-023,4,Day 23 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 4 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-023,SL-11,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
CAL-024,4,Day 24 (Wed),Instagram Stories,Floor ASMR,Homeowners/local,Consideration,3-frame Q&A/process derivative,Floor ASMR: Week 4 Wed,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-024,SL-12,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Low,Support,Draft—not approved,Replies + estimate-path taps
CAL-025,4,Day 25 (Thu),Instagram + Facebook,What Would This Cost?,Homeowners/local,Consideration,Educational carousel,What Would This Cost?: Week 4 Thu,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-025,SL-01,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Qualified inquiries + saves
CAL-026,4,Day 26 (Fri),Instagram + Facebook,Finish Friday,Homeowners/local,Decision,Matched reveal Reel + carousel,Finish Friday: Week 4 Fri,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-026,SL-02,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Saves/shares + qualified leads
CAL-027,4,Day 27 (Sat),Production / no post,The NOLA Floor Report,Homeowners/local,Consideration,Edit/archive/permission cleanup,The NOLA Floor Report: Week 4 Sat,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-027,SL-03,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Approval/metadata completion
CAL-028,4,Day 28 (Sun),Community / no post,The NOLA Floor Report,Homeowners/local,Operations,Response and performance review,The NOLA Floor Report: Week 4 Sun,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-028,SL-04,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Content/analytics owner,Low,Support,Planned—internal,Response coverage + business outcome reconciliation
CAL-029,5,Day 29 (Mon),Production / no post,Restore It Before You Replace It,Homeowners/local,Operations,Batch brief and capture,Restore It Before You Replace It: Week 5 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-029,SL-05,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Cleared assets captured
CAL-030,5,Day 30 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 5 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-030,SL-06,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
CAL-031,5,Day 31 (Wed),Instagram Stories,Floor ASMR,Homeowners/local,Consideration,3-frame Q&A/process derivative,Floor ASMR: Week 5 Wed,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-031,SL-07,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Low,Support,Draft—not approved,Replies + estimate-path taps
CAL-032,5,Day 32 (Thu),LinkedIn,Contractor Field Notes,Contractors/commercial,Consideration,B2B field note,Contractor Field Notes: Week 5 Thu,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-032,SL-08,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Qualified inquiries + saves
CAL-033,5,Day 33 (Fri),Instagram + Facebook,Finish Friday,Homeowners/local,Decision,Matched reveal Reel + carousel,Finish Friday: Week 5 Fri,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-033,SL-09,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Saves/shares + qualified leads
CAL-034,5,Day 34 (Sat),Google Business Profile,Floor Rescue,Homeowners/local,Decision,Locally useful project derivative,Floor Rescue: Week 5 Sat,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-034,SL-10,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Primary,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,High,Support,Hold—live rules/approval,GBP actions + qualified leads
CAL-035,5,Day 35 (Sun),Community / no post,The NOLA Floor Report,Homeowners/local,Operations,Response and performance review,The NOLA Floor Report: Week 5 Sun,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-035,SL-11,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Content/analytics owner,Low,Support,Planned—internal,Response coverage + business outcome reconciliation
CAL-036,6,Day 36 (Mon),Production / no post,New Orleans Floor Crimes,Homeowners/local,Operations,Batch brief and capture,New Orleans Floor Crimes: Week 6 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-036,SL-12,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Cleared assets captured
CAL-037,6,Day 37 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 6 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-037,SL-01,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
CAL-038,6,Day 38 (Wed),Instagram Stories,Floor ASMR,Homeowners/local,Consideration,3-frame Q&A/process derivative,Floor ASMR: Week 6 Wed,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-038,SL-02,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Low,Support,Draft—not approved,Replies + estimate-path taps
CAL-039,6,Day 39 (Thu),Instagram + Facebook,What Would This Cost?,Homeowners/local,Consideration,Educational carousel,What Would This Cost?: Week 6 Thu,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-039,SL-03,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Qualified inquiries + saves
CAL-040,6,Day 40 (Fri),Instagram + Facebook,Finish Friday,Homeowners/local,Decision,Matched reveal Reel + carousel,Finish Friday: Week 6 Fri,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-040,SL-04,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Saves/shares + qualified leads
CAL-041,6,Day 41 (Sat),Production / no post,The NOLA Floor Report,Homeowners/local,Consideration,Edit/archive/permission cleanup,The NOLA Floor Report: Week 6 Sat,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-041,SL-05,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Approval/metadata completion
CAL-042,6,Day 42 (Sun),Community / no post,The NOLA Floor Report,Homeowners/local,Operations,Response and performance review,The NOLA Floor Report: Week 6 Sun,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-042,SL-06,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Content/analytics owner,Low,Support,Planned—internal,Response coverage + business outcome reconciliation
CAL-043,7,Day 43 (Mon),Production / no post,The NOLA Floor Report,Homeowners/local,Operations,Batch brief and capture,The NOLA Floor Report: Week 7 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-043,SL-07,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Cleared assets captured
