Campaign,Ad group,Ad group status,Launch status,Theme,Default max CPC,Landing page,Notes
Search | Core | Commercial | B2B,Hotel Refinishing,Paused,hold,Hotel Refinishing,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Commercial | B2B,Restaurant Flooring,Paused,hold,Restaurant Flooring,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Commercial | B2B,Church Restoration,Paused,hold,Church Restoration,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Commercial | B2B,Commercial Installation,Paused,hold,Commercial Installation,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Commercial | B2B,Property Management,Paused,hold,Property Management,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Contractor Builder | B2B,Hardwood Subcontractor,Paused,hold,Hardwood Subcontractor,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Contractor Builder | B2B,Flooring Subcontractor New Orleans,Paused,hold,Flooring Subcontractor New Orleans,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Contractor Builder | B2B,Builder Hardwood Installer,Paused,hold,Builder Hardwood Installer,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Contractor Builder | B2B,Contractor Flooring Partner,Paused,hold,Contractor Flooring Partner,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Contractor Builder | B2B,Commercial Flooring Bid,Paused,hold,Commercial Flooring Bid,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Contractor Builder | B2B,Hardwood Plan Review,Paused,hold,Hardwood Plan Review,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Northshore | Hardwood Services | Residential,Refinishing Mandeville,Paused,hold,Refinishing Mandeville,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Northshore | Hardwood Services | Residential,Refinishing Covington,Paused,hold,Refinishing Covington,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Northshore | Hardwood Services | Residential,Installation Northshore,Paused,hold,Installation Northshore,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Northshore | Hardwood Services | Residential,Repair Slidell,Paused,hold,Repair Slidell,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Northshore | Hardwood Services | Residential,Hardwood Services Northshore,Paused,hold,Hardwood Services Northshore,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
