Campaign,Ad group,Keyword,Match type,Keyword status,Search intent,Audience,Service,Geography,Expected lead value,Landing page,Risk,Priority,Launch status,Notes
Search | Core | Brand | All,NOLA Dustless,nola dustless,Exact,Paused,High-intent service/navigation,All,Brand navigation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Historic Heart Pine | Residential,Historic-Home Hardwood,historic home hardwood restoration,Phrase,Paused,High-intent service/navigation,Historic-property owner,Historic/heart-pine restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/historic-hardwood-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Commercial | B2B,Commercial Hardwood Contractor,commercial hardwood contractor,Exact,Paused,High-intent service/navigation,Commercial decision-maker,Commercial hardwood,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/commercial-hardwood-flooring/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Commercial | B2B,Commercial Hardwood Contractor,commercial hardwood contractor,Phrase,Paused,High-intent service/navigation,Commercial decision-maker,Commercial hardwood,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/commercial-hardwood-flooring/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Commercial | B2B,Hotel Refinishing,hotel refinishing,Exact,Paused,High-intent service/navigation,Commercial decision-maker,Commercial hardwood,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/commercial-hardwood-flooring/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Commercial | B2B,Hotel Refinishing,hotel refinishing,Phrase,Paused,High-intent service/navigation,Commercial decision-maker,Commercial hardwood,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/commercial-hardwood-flooring/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Commercial | B2B,Restaurant Flooring,restaurant flooring,Exact,Paused,High-intent service/navigation,Commercial decision-maker,Commercial hardwood,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/commercial-hardwood-flooring/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Commercial | B2B,Restaurant Flooring,restaurant flooring,Phrase,Paused,High-intent service/navigation,Commercial decision-maker,Commercial hardwood,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/commercial-hardwood-flooring/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Commercial | B2B,Church Restoration,church restoration,Exact,Paused,High-intent service/navigation,Commercial decision-maker,Commercial hardwood,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/commercial-hardwood-flooring/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Commercial | B2B,Church Restoration,church restoration,Phrase,Paused,High-intent service/navigation,Commercial decision-maker,Commercial hardwood,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/commercial-hardwood-flooring/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Commercial | B2B,Commercial Installation,commercial installation,Exact,Paused,High-intent service/navigation,Commercial decision-maker,Commercial hardwood,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/commercial-hardwood-flooring/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Commercial | B2B,Commercial Installation,commercial installation,Phrase,Paused,High-intent service/navigation,Commercial decision-maker,Commercial hardwood,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/commercial-hardwood-flooring/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Commercial | B2B,Property Management,property management hardwood flooring,Exact,Paused,High-intent service/navigation,Commercial decision-maker,Commercial hardwood,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/commercial-hardwood-flooring/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Commercial | B2B,Property Management,property management hardwood flooring,Phrase,Paused,High-intent service/navigation,Commercial decision-maker,Commercial hardwood,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/commercial-hardwood-flooring/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Contractor Builder | B2B,Hardwood Subcontractor,hardwood subcontractor,Exact,Paused,High-intent service/navigation,Contractor or builder,Subcontract partnership,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/contractor-partnerships/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Contractor Builder | B2B,Hardwood Subcontractor,hardwood subcontractor,Phrase,Paused,High-intent service/navigation,Contractor or builder,Subcontract partnership,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/contractor-partnerships/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Contractor Builder | B2B,Flooring Subcontractor New Orleans,flooring subcontractor new orleans,Exact,Paused,High-intent service/navigation,Contractor or builder,Subcontract partnership,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/contractor-partnerships/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Contractor Builder | B2B,Flooring Subcontractor New Orleans,flooring subcontractor new orleans,Phrase,Paused,High-intent service/navigation,Contractor or builder,Subcontract partnership,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/contractor-partnerships/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Contractor Builder | B2B,Builder Hardwood Installer,builder hardwood installer,Exact,Paused,High-intent service/navigation,Contractor or builder,Subcontract partnership,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/contractor-partnerships/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Contractor Builder | B2B,Builder Hardwood Installer,builder hardwood installer,Phrase,Paused,High-intent service/navigation,Contractor or builder,Subcontract partnership,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/contractor-partnerships/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Contractor Builder | B2B,Contractor Flooring Partner,contractor flooring partner,Exact,Paused,High-intent service/navigation,Contractor or builder,Subcontract partnership,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/contractor-partnerships/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Contractor Builder | B2B,Contractor Flooring Partner,contractor flooring partner,Phrase,Paused,High-intent service/navigation,Contractor or builder,Subcontract partnership,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/contractor-partnerships/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Contractor Builder | B2B,Commercial Flooring Bid,commercial flooring bid,Exact,Paused,High-intent service/navigation,Contractor or builder,Subcontract partnership,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/contractor-partnerships/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Contractor Builder | B2B,Commercial Flooring Bid,commercial flooring bid,Phrase,Paused,High-intent service/navigation,Contractor or builder,Subcontract partnership,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/contractor-partnerships/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Contractor Builder | B2B,Hardwood Plan Review,hardwood plan review,Exact,Paused,High-intent service/navigation,Contractor or builder,Subcontract partnership,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/contractor-partnerships/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Contractor Builder | B2B,Hardwood Plan Review,hardwood plan review,Phrase,Paused,High-intent service/navigation,Contractor or builder,Subcontract partnership,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/contractor-partnerships/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Northshore | Hardwood Services | Residential,Refinishing Mandeville,refinishing mandeville,Exact,Paused,High-intent service/navigation,Northshore homeowner,Hardwood services,Northshore explicit,TBD—owner economics,https://www.noladustless.com/northshore-hardwood-services/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Northshore | Hardwood Services | Residential,Refinishing Mandeville,refinishing mandeville,Phrase,Paused,High-intent service/navigation,Northshore homeowner,Hardwood services,Northshore explicit,TBD—owner economics,https://www.noladustless.com/northshore-hardwood-services/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Northshore | Hardwood Services | Residential,Refinishing Covington,refinishing covington,Exact,Paused,High-intent service/navigation,Northshore homeowner,Hardwood services,Northshore explicit,TBD—owner economics,https://www.noladustless.com/northshore-hardwood-services/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Northshore | Hardwood Services | Residential,Refinishing Covington,refinishing covington,Phrase,Paused,High-intent service/navigation,Northshore homeowner,Hardwood services,Northshore explicit,TBD—owner economics,https://www.noladustless.com/northshore-hardwood-services/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Northshore | Hardwood Services | Residential,Installation Northshore,installation northshore,Exact,Paused,High-intent service/navigation,Northshore homeowner,Hardwood services,Northshore explicit,TBD—owner economics,https://www.noladustless.com/northshore-hardwood-services/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Northshore | Hardwood Services | Residential,Installation Northshore,installation northshore,Phrase,Paused,High-intent service/navigation,Northshore homeowner,Hardwood services,Northshore explicit,TBD—owner economics,https://www.noladustless.com/northshore-hardwood-services/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Northshore | Hardwood Services | Residential,Repair Slidell,repair slidell,Exact,Paused,High-intent service/navigation,Northshore homeowner,Hardwood services,Northshore explicit,TBD—owner economics,https://www.noladustless.com/northshore-hardwood-services/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Northshore | Hardwood Services | Residential,Repair Slidell,repair slidell,Phrase,Paused,High-intent service/navigation,Northshore homeowner,Hardwood services,Northshore explicit,TBD—owner economics,https://www.noladustless.com/northshore-hardwood-services/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Northshore | Hardwood Services | Residential,Hardwood Services Northshore,hardwood flooring northshore,Exact,Paused,High-intent service/navigation,Northshore homeowner,Hardwood services,Northshore explicit,TBD—owner economics,https://www.noladustless.com/northshore-hardwood-services/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Northshore | Hardwood Services | Residential,Hardwood Services Northshore,hardwood flooring northshore,Phrase,Paused,High-intent service/navigation,Northshore homeowner,Hardwood services,Northshore explicit,TBD—owner economics,https://www.noladustless.com/northshore-hardwood-services/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Refinishing | Residential,Hardwood Floor Refinishing,hardwood floor refinishing,Broad,Paused,Exploratory high intent,Residential homeowner,Refinishing,Core,TBD—owner economics,https://www.noladustless.com/hardwood-floor-refinishing/,High query-expansion risk,P3,later test,Only with qualified Smart Bidding data and daily review
